image_path,mask_path,category,architecture,defect_type,gradcam_path,ig_path,occlusion_path,gradientsshap_path
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_001.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_001_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_001_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_001_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_001_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_001_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_002.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_002_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_002_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_002_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_002_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_002_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_003.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_003_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_003_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_003_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_003_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_003_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_004.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_004_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_004_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_004_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_004_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_004_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_005.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_005_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_005_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_005_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_005_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_005_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_006.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_006_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_006_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_006_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_006_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_006_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_007.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_007_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_007_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_007_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_007_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_007_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_008.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_008_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_008_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_008_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_008_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_008_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_009.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_009_mask.png,hazelnut,resnet18,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_009_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_009_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_009_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_009_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_010.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_010_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_010_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_010_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_010_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_010_gradientsshap_resnet18.npy
